dataset,sample_id,decode_step,layer_id,head_id,candidate_count,selected_k,boundary_step,reason
gov_report,gov_report/0,0,0,0,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,1,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,2,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,3,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,4,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,5,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,6,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,7,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,8,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,9,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,10,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,11,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,12,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,13,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,14,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,15,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,16,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,17,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,18,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,19,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,20,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,21,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,22,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,23,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,24,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,25,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,26,32,16,True,no_previous_step
gov_report,gov_report/0,0,0,27,32,16,True,no_previous_step
gov_report,gov_report/0,0,1,0,32,16,True,no_previous_step
gov_report,gov_report/0,0,1,1,32,16,True,no_previous_step
gov_report,gov_report/0,0,1,2,32,16,True,no_previous_step
gov_report,gov_report/0,0,1,3,32,16,True,no_previous_step
gov_report,gov_report/0,0,1,4,32,16,True,no_previous_step
